Video Position (%),Segment Text,Video
66,"stole plenty of cars, and whenever a stolen vehicle became “hot”, he’d torch it, reasoning that the fire damage would help the owners",Video C
67,"collect on the insurance. Pretty thoughtful, right? It turns out Randy was the victim of his own virtue when he set fire to",Video C
68,"a van that he was still inside. On trying to escape, Randy found that the driver’s side handle was broken, and the door",Video C
69,locked. Randy burned up inside the van and was pretty much killed by his own kindness (and stupidity). https://darwinawards.com/darwin/darwin1998-03.html 6. Floridian Pigeon It,Video C
70,"seems that idiots are drawn to powerlines like moths to a flame. Here, the infamous “Florida Man” returns with a tale that would",Video C
71,"have Thomas Edison facepalming in his grave. When Elian Garcia-Rivera’s pet pigeon decided to perch on a powerline, he thought the best way",Video C
72,to dislodge his feathered friend would be to retrieve a 20-foot-long aluminium pool pole and jab it into the high-voltage wires. This Floridian,Video C
73,only succeeded in turning himself into a human superconductor and was killed instantly. If only this Florida man had listened a little more,Video C
74,"in science class. https://www.foxnews.com/us/florida-man-dies-after-trying-to-remove-pet-pigeon-from-power-line-with-20-foot-aluminum-pole 5. Time Zone Terrorists Daylight savings time causes a lot of confusion – but in this instance, it proved",Video C
75,"fatal. In 1999, Israel turned the clocks back a day early, but Palestinians refused to accept this “Zionist Time” – except for four",Video C
76,"terrorists who’d planned a bombing that day. Their bombs were set to go off at 6.30pm, but poor communication meant the would-be bombers",Video C
77,"were an hour behind schedule. The explosives detonated while the terrorists were en route, preventing any further bloodshed. I think we can say",Video C
78,these dummies got what they deserved – a one-way ticket to the afterlife. https://darwinawards.com/darwin/darwin1999-38.html 4. Faithful Flotation I’ll admit: I’ve tried to walk,Video C
79,"on water. Anyone who says they haven’t taken a run at a pool with hopes of making it across is probably lying. So,",Video C
80,"when in 2016 a Zimbabwean pastor promised he would walk out into a river and rise above the water, his congregation were intrigued.",Video C
81,"After fasting for a week, the pastor waded 30 metres into a river known as “Crocodile River”. You think the name might have",Video C
82,"put him off, but no. Pastor Jonathan was devoured by three hungry crocodiles before he even had the chance to perform his miracle.",Video C
83,So much for divine intervention. https://www.express.co.uk/news/world/804685/crocodile-attack-zimbabwe-pastor-walk-on-water-Jonathan-Mthethwa 3. Peeping Tom People love to catch a glimpse of something they’re not supposed to see –,Video C
84,"like this Calgary man who died in a shopping mall last year. Though his motives were unknown, I think it’s pretty obvious what",Video C
85,this guy was up to when he climbed through a vent in order to access the area behind a wall in the women’s,Video C
86,"bathrooms. The man became trapped there and was found dead three days later. Police have not revealed the cause of death, but it’s",Video C
87,safe to say this Peeping Tom got a little more excitement than he bargained for. https://www.theguardian.com/world/2018/may/02/calgary-canada-body-behind-toilet-accidental-death 2. Just Buy a Ticket There are,Video C
88,"smart ways to save money, and there are dumb ways to save money. And then there’s this guy. Mr Zhang was visiting Ningbo",Video C
89,Younger Zoo in China with his family when he realised he couldn’t afford the $20 to buy a ticket for himself. So he,Video C
90,"doubled back and decided to scaled the fence in order to access the zoo. After a successful climb, Mr Zhang landed in the",Video C
91,"tiger enclosure, and was set up by a trio of tigers, who quickly ripped him to pieces. I guess he paid the price",Video C
92,"after all. https://www.mirror.co.uk/news/world-news/tourist-mauled-death-tigers-front-9720631 1. Stings in the Tail The Asian giant hornet is the world’s biggest hornet, and it’s the stuff of nightmares.",Video C
93,"Large, aggressive, and venomous, a swarm of these insects can kill a human – and they do: around 40 people are killed in",Video C
94,"Japan each year by hornet stings. So the last thing you should do is bug them. In this hilarious-yet-shocking video, a Chinese man",Video C
95,is shown dancing with a hornet’s nest and throwing it about after removing it. If you want to elicit stings from dangerous flying,Video C
96,"creatures, tearing their house down and juggling with it is a sure way to do it. Even with his protective suit, the man",Video C
97,"suffers multiple stings, and is later show being carried off on a stretcher, his body stiff and full of venom. I think he",Video C
98,"needed a better suit. https://ru.sputnik.kg/world/20181018/1041592281/muzhchina-shershni-video-smert.html So, which Darwin award winner would you give the number 1 trophy to? Let me know your thoughts",Video C
99,"in the comments section down below, and remember – if you’re going to do something life threatening … make sure you get someone to record it so you can get a posthumous Darwin award! Thanks for watching.",Video C
0,Embarrassingly Dumb Ways People Died - Darwin Awards Winners [Part 4] The advancement of civilisation has given a fighting chance to those,Video D
1,"whose lack of awareness might’ve got them killed in the past. But there are some people that make such terrible decisions, even",Video D
2,"the achievements of the modern world can’t keep them alive. Let’s dive into some unbelievably dumb ways people died, earning themselves a",Video D
3,Darwin award for natural selection. “Garbage Day!” No one likes having to take out the trash for collection… [run clip] …but we,Video D
4,"don’t usually expect to find ourselves carried off alongside our garbage. But for Diego Mata, a combination of heavy drinking and dumpster",Video D
5,"diving lead to exactly that, one fateful evening in March 2019. CCTV footage taken on the night in Rosemont, Illinois’ entertainment district,",Video D
6,"captured the 31-year-old drunkenly climbing into a dumpster around 4am. An hour later, the garbage truck arrived, tipping the contents of the",Video D
7,"dumpster – including Mata – into its powerful mechanical jaws. Mata’s body was later recovered from a sanitation facility, where he was",Video D
8,found to have been crushed to death. What a rubbish way to go. Water Hazard It seems like common sense that –,Video D
9,"if you don’t know how to swim – you should probably learn before doing ocean water-sports. Unfortunately, this didn’t occur to Jerry",Video D
10,"Device in July 2019, when he took to the sea in the jet ski he’d purchased mere hours earlier. Despite his desire",Video D
11,"to have a wild time in the water, Device never learned to swim, so when he lost control and flipped his new",Video D
12,"toy, he was thrown into serious peril. Within moments, the sea had overwhelmed him, and he drowned. When you’re in Poseidon’s house,",Video D
13,it pays to be respectful. Because he can be one remorseless son of a titan. Deadly Hydration Tina Christopherson was an extremely,Video D
14,"intelligent woman, with a reported IQ of 189. Unfortunately, irrational fear affects even the smartest minds, and a specific fear of stomach",Video D
15,"cancer was responsible for Tina’s demise. She’d seen her mother suffer an agonising death from the disease, which drove her to obsess",Video D
16,"over avoiding that fate for herself. She became convinced that she could avoid stomach cancer by intermittently fasting for extended periods, in",Video D
17,"which she would only consume water. During these fasts, she would drink as much as four gallons of water a day. The",Video D
18,"extended strain of this practice pushed her kidneys into failure, causing water to migrate to her lungs. Despite being on solid ground,",Video D
19,"the water in Tina’s lungs caused her to drown. In the end, her neurotic desperation to avoid death had, in fact, killed",Video D
20,"her. So, remember kids, stay hydrated – but not too hydrated, okay? Black Death Dining Luckily, most of us will never have",Video D
21,"to suffer the disease that wiped out around half the European population in the 14th century. I’m talking, of course, about the",Video D
22,"Black Death, or bubonic plague, which is caused by a bacterium called Yersinia pestis. The disease is spread by fleas carried by",Video D
23,"rodents, and while we can treat it with antibiotics now, its symptoms spread fast and are extremely painful, deadly and highly infectious.",Video D
24,"Over the years, we’ve figured out that – among other methods – to avoid ending up covered in oozing buboes and gangrene,",Video D
25,"it helps to avoid touching wild rodents. But not only did a Mongolian couple miss the memo in May 2019, they took",Video D
26,"their ignorance to the next level, by consuming the raw kidney of a rodent known as a marmot. Believing the meat to",Video D
27,"be good for their health, consuming it actually gave both of them bubonic plague. Not only did they both die, they caused",Video D
28,"a 6-day quarantine of locals and tourists who had come into contact with the couple. Clearly, there are worse ways to make",Video D
29,people suffer from your eating habits than microwaving stanky fish in the office break room! I’d take stinky seafood or pungent cheese,Video D
30,"over deadly, bacterial rodent disease. Pain in the Neck On a cold night in September 1927, famous French-American dancer Isadora Duncan was",Video D
31,"preparing for an evening out in a friend’s sports car. On their parting, another friend implored Isadora to put a warm cape",Video D
32,"over her shoulders, as the open-top car would run a substantial breeze during the drive. Isadora decided that some stylish neckwear would",Video D
33,"be sufficient, so she wrapped a long, flowing silk scarf around her neck, and was ready to go. The driver began to",Video D
34,"drive off, while Isadora said – what would indeed be – her final goodbyes. But, to the horror of her onlooking friends,",Video D
35,"the scarf was whipped up in the wind, and drifted over the edge of the car. It had soon wrapped itself around",Video D
36,"the open spokes of the vehicle’s wheels, and was rapidly pulling Isadora onto a shorter and shorter leash. She was yanked out",Video D
37,"of the vehicle, into the road, and under the car. The wheel ran over her neck, breaking it instantly, and she was",Video D
38,"left wedged in between the wheel and mudguard. A gruesome end, and a timeless example of the dangers of putting fashion first.",Video D
39,The Bad Boy’s Burning Bed Charles the Bad certainly lived up to his name during his reign as King of Navarre between,Video D
40,"1349 and 1387. He was a big fan of cruelty, deception and murder, either carried out by his own hands, or those",Video D
41,"of assassins… [roll clip] But his life of narcissism, backstabbing, violence and hatred took its toll, and by the time he was",Video D
42,"54, his health had deteriorated to a point where he could barely move his limbs. With death looming closer by the day,",Video D
43,"his doting physicians – armed with the highest calibre of medical knowledge at the time, which basically amounted to nothing at all",Video D
44,"– tried one final, experimental method to restore his health. Like some sickly, royal Christmas pudding, they wrapped him up tightly in",Video D
45,"linen cloth that had been soaked in brandy, hoping the strong alcohol would restore some vigour. Unfortunately, the servant tasked with stitching",Video D
46,"the linen together found she’d used off more thread than needed for the process, but instead of cutting and knotting the extra",Video D
47,"at the end, she decided to burn it with a candle. The alcohol caught alight, and the king went up in flames,",Video D
48,"burning to death shortly after. Whether the servant was a bumbling idiot, or trained assassin, Charles made a fatal mistake in going",Video D
49,along with such unusual and hazardous practices… practices that would leave him more than a little hot under the collar. The Dangers,Video D
50,"of Fast Food Everybody knows too much fast food is bad for us. But in his last moments on Earth, Charles Wood",Video D
51,"Jr. of Velda City, Missouri, learnt the real dangers of the drive-thru experience. Wood placed his order at a local Jack in",Video D
52,"the Box and pulled up to the collection window. Reaching out of his car window, he realised he was too far away",Video D
53,"to take his food from the restaurant worker, and opened his car door, stretching out to grab his meal. Unfortunately, in doing",Video D
54,"so, he rested his foot on the accelerator of his car. The car was in reverse, and was sent barrelling backwards into",Video D
55,"a tree. Wood was sandwiched between the two objects, and later succumbed to his injuries. The lesson here? Never order fast food,",Video D
56,"especially if you’re the type to use the accelerator as a footrest. Dog’s Dinner You’d think that an esteemed, respected philosopher, who",Video D
57,"made great progress in our understanding of what it means to exist, would be met with an esteemed, respectful end. But for",Video D
58,"Ancient Greek philosopher Heraclitus, this was far from the case. Though he had spent his whole life thinking and reflecting, he really",Video D
59,should’ve thought harder about his self-prescribed cure when he developed dropsy. Dropsy involves the accumulation of fluid under the skin and inside,Video D
60,"the cavities of the body, and is often a symptom of serious lung, heart or liver diseases. According to sources from the",Video D
61,"time, Heraclitus came to the conclusion that burying himself in a shed full of cow manure would help draw out some of",Video D
62,"the fluid by warmth. Unfortunately, Heraclitus was unable to get himself free after hours spent in the dung heap, and in his",Video D
63,"trapped state was unable to defend himself when a pack of dogs came sniffing around. They devoured him alive, despite the notably",Video D
64,pungent aftertaste. [roll clip] Pillow Armor We’ve all made up some pretty ridiculous excuses to get out of things. But one Turkish,Video D
65,"man in July 2019 went way beyond the regular “sorry, boss, I’m sick – totally not hungover or anything”. After being sentenced",Video D
66,"to community service for wounding someone in a fight, Zafer Kuzu decided that he just didn’t feel like doing it. So, he",Video D
67,"and his friends hatched a, uh, brilliant plan. By strapping two pillows to his back for protection and getting his friend to",Video D
68,"shoot him with a shotgun, Zafer hoped he’d be just injured enough to get out of community service. It worked; he certainly",Video D
69,"never had to do community service. Because he died almost instantly. On top of that, his friend was injured from the blast",Video D
70,"too, and was also charged with his friend’s murder. Yep, humans really can be that dumb. Holding It In When you gotta",Video D
71,"go, you gotta go. It’s the opening line of every religious text ever written. Take my word for it. But in 1601,",Video D
72,a Danish astronomer and alchemist called Tycho Brahe chose to disobey this great nugget of wisdom. He’s mostly remembered for his comprehensive,Video D
73,"collection of empirical observations about the stars and space, but perhaps the most astronomical thing he ever encountered was the size of",Video D
74,"his bladder following his final meal. You see, Tycho was a stickler for the rules of being a nobleman, to the extreme.",Video D
75,"While enjoying a feast, the astronomer found himself needing to use the little boys’ room – which was, at the time, little",Video D
76,"more than a hole in the floor. However, through Tycho’s interpretation of nobleman etiquette, he convinced himself it would be incredibly rude",Video D
77,"to leave the feast for such a vulgar act of urination. So, he remained in place for several hours, only able to",Video D
78,"relieve himself on his return home. But he found that he was only able to pee in very short, agonising spurts. Within",Video D
79,"a few days, he was dead. Holding it in too long had led Tycho’s bladder to burst, resulting in a very painful",Video D
80,"death. Rather than worrying about both his P’s and Q’s, perhaps he should’ve just stuck to the P’s. Kill It With Fire!",Video D
81,"In May 2019, A 63-year-old man discovered that his basement was infested with bugs. Fancying himself a bit of a DIY exterminator,",Video D
82,"he located the source of the infestation, and entered the crawlspace with a propane torch in hand. Shooting flames willy-nilly like a",Video D
83,"dragon with allergies, he soon found that more than the bugs were catching alight. As the flammable materials lining the crawlspace caught",Video D
84,"alight, he found himself unable to stop drop and roll – as the space was far too tight for such gymnastics –",Video D
85,"and he was burnt to a crisp. In the process, he also caused $60,000 of damage to his house. But hey, at",Video D
86,"least the bugs are gone, right? Smack-talking The Gators While it’s true that some people can’t help being stupid, other people are",Video D
87,"willingly stupid, with an infuriating dash of arrogance thrown in. After a 10-ft alligator had been spotted in a Texas marina, staff",Video D
88,"put up a warning sign. This was not enough to scare off one local man on a night in July 2015, and",Video D
89,neither were the repeated verbal warnings issued by a marina employee. The employee looked on in horror as the man responded with,Video D
90,"‘[censor bleep] the alligators’ and jumped straight into the marina. Almost immediately, he screamed out for help, but it was too late.",Video D
91,"Within minutes, the man was floating, motionless, face-down on the surface, dead. Clearly, alligators take profanity very seriously… [roll clip] How To",Video D
92,"Hypnotise An Elephant If you’re an animal hypnotist in training - test your skills on your cat, or a neighbour’s dog, or",Video D
93,"even a zoo animal safely behind protective glass. Don’t try to hypnotise a wild elephant. It seems unbelievable, but in January 2019,",Video D
94,a Sri Lankan man did exactly that. The man was travelling with his family when he spotted the huge animal grazing in,Video D
95,"a field. He approached the animal, getting its attention, and got closer and closer until the elephant charged. Hoping to hypnotise the",Video D
96,"elephant back into placidity, the man performed a sudden hand gesture and stood his ground. Unfortunately, this worked about as much as",Video D
97,"you’d expect. [roll clip] The elephant trampled the man to death, while his family looked on in horror. The mistake was clear;",Video D
98,he forgot his hypnotist pendant. I’m sure he would’ve been just fine if he’d started swinging one of those. It’s not like,Video D
99,"giant, wild, tusked beasts are dangerous, after all… Were you as blown away as I was by the unbelievable stupidity that led to some of these people’s untimely demise? Have you heard of any other Darwin Award-worthy cases? Let me know in the comments section below. Thanks for watching!",Video D
0,"Embarrassingly Dumb Ways People Died - Darwin Awards Winners [Part 5] Sometimes, it really does seem like the world",Video E
1,"is getting dumber. That may be partly due to the fact that our incredible social systems of medicine, community",Video E
2,"and welfare have effectively wiped out natural selection for us humans. But every once in a while, someone worthy",Video E
3,of a Darwin Award removes themselves from the gene pool like a deer with a penchant for highway jogging.,Video E
4,"Join me now, as I take a look at some of the most mind-bogglingly dumb ways people have died.",Video E
5,Leap of Faith In May of 2019 a car chase left a criminal in a tough spot. The Brooklyn,Video E
6,"man was wanted for a carjacking when he made his first dumb move: crashing into a police car, triggering",Video E
7,"a high-speed chase. His second – and most lasting – mistake came later, after the pursuit left him trapped",Video E
8,"between multiple pursuing police cars on the Brooklyn Bridge. Rather than hand himself over, he went with the Grand",Video E
9,"Theft Auto method. He assumed that jumping over the railing, down to the ground below would allow him to",Video E
10,escape with little more than a scratch or two. So over he went. And while he did indeed get,Video E
11,"away, he did so in a body bag. Remember Your Roots There are many embarrassing ways to die, but",Video E
12,falling victim to the wrath of a root vegetable has to be near the top. When out on a,Video E
13,"hunting trip in 1881, British politician Sir William Payne-Gallwey entered the annals of ridiculous history, when he slipped and",Video E
14,"fell onto a turnip. The turnip, renowned by his fellow turnips as a violent brute, caused severe internal injuries",Video E
15,"to the politician, and he died that day, aged 74. Turns out vegetables aren’t so good for you, after",Video E
16,all! World’s Longest Breath Holder I could think of better ways to spend a Saturday night than a breath-holding,Video E
17,"contest, but apparently boredom was at an all-time high for a New Jersey man in August 2018. Rather than",Video E
18,"holding the competition between friends on the safety of dry land, the man decided to hold his breath underwater",Video E
19,"on Lake Sinclair in Georgia. 7 minutes passed before anyone noticed anything was wrong. In this time, the undisputed",Video E
20,"winner of the contest had fallen unconscious and drowned, proving that real winners never give up. Cigarette Burns Hospitals",Video E
21,"are usually safe places for treatment and recovery, but a questionable decision made by an elderly lady in Haltern-Am-See,",Video E
22,"Germany, brought a quick end to her own treatment plan in 2018. The lady, who was wheelchair-bound from sickness,",Video E
23,"wheeled herself outside for a nice relaxing smoke. She seemed to forget that she was wearing an oxygen ventilator,",Video E
24,"which ignited when she lit her cigarette, setting fire to the plastic upholstery of her wheelchair. She was engulfed",Video E
25,"in deadly flames and scorching plastic and died soon after. Everyone knows smoking’s bad for your health. But usually,",Video E
26,its effects aren’t so… explosive. Not the Bees! Picture this relaxing scene: you’re lying down on a comfy massage,Video E
27,"table, enjoying some nice therapeutic music… when someone forcibly stings you with multiple bees. Surprisingly, this is something people",Video E
28,willingly go through on a regular basis – supposedly to relieve stress and muscle tension – and is a,Video E
29,"form of alternative medicine known as ‘live bee acupuncture’. All the bees that are used die in the process,",Video E
30,"but in 2018, they finally got their own back. You see, every time a person is stung by a",Video E
31,"bee, their chances of suffering an allergic reaction increase. But for one woman who was unaware of this fact,",Video E
32,"her reaction came as a total surprise, after having the treatment so many times. The woman immediately lost consciousness",Video E
33,"following one of the stings, and soon died of a severe allergic reaction. Don’t mess with bees. Nick Cage",Video E
34,"knows this, and so should you. [roll clip] Escalator To Heaven You’ve heard of the stairway to heaven, but",Video E
35,"what about the fast-track version? The only catch is, you never actually get to the top. This is the",Video E
36,fate that met the guitar player from a heavy metal band whose name is so obscene YouTube would implode,Video E
37,if I were to say it. A musical career dedicated to causing as much controversy as possible culminated in,Video E
38,"a rather unclimactic end, when he attempted to ride his way along the rail of an escalator. He lost",Video E
39,"his balance, plummeted over the edge, and died on impact. His head struck a food court table, presumably turning",Video E
40,some unfortunate kid’s happy meal into a horror meal. Taking Selfies To New Heights Some people go to great,Video E
41,"lengths for that perfect selfie. But apparently, these great lengths should never exceed 99ft. The world learned this fact",Video E
42,"in 2018, when a British woman and her Australian boyfriend were found dead on a beach in Portugal. Piecing",Video E
43,"the evidence together, police concluded that the couple had been sat atop a 100ft wall overlooking the beach, when",Video E
44,"they dropped the phone they’d been snapping vacation pics on. They both reached to grab the phone, which had",Video E
45,"landed on a ledge just below them. Unfortunately, they both lost their balance, and plunged the full distance to",Video E
46,"the ground below. As if to symbolise technology’s inevitable take over of the human race, the phone the couple",Video E
47,"gave their lives trying to save remained on the wall, unscathed. Trouble In The Tub We’re taught from a",Video E
48,"young age that water and electricity don’t mix, but for some people, this never quite sinks in. For some,",Video E
49,"the comfort of having an electronic device on hand at all times overrides the need to, you know, remain",Video E
50,"alive. A Londoner learnt the error of this mindset in 2017, when he tried charging his phone while in",Video E
51,"the bath. As he relaxed in the tub, he balanced an extension cord on his chest, keeping it out",Video E
52,"of the water. What happened next is unclear, but the situation isn’t too hard to fathom. Whether he slipped,",Video E
53,"or whether he absent-mindedly dunked his phone in the water, he was killed by the ensuing shock. Fussy Eater",Video E
54,"Everybody loves the hearty goodness of a home-cooked meal, assuming at least one person in the house can cook.",Video E
55,But renowned mathematician Kurt Gödel took his love of his wife’s home cooking to ridiculous levels. Despite – or,Video E
56,"perhaps because of – his brilliance as a mathematician, Gödel was an extremely paranoid man. His paranoia grew to",Video E
57,"the point where, in his later years, he refused to eat anything that hadn’t first been tasted or prepared",Video E
58,"by his wife. Believing himself to be at the centre of a poisoning plot, when his wife was hospitalised",Video E
59,"for six weeks in 1977 and hence was unable to cook for her husband, Gödel stopped eating. By the",Video E
60,"end of January 1978, he had died of malnutrition - weighing only 65 pounds when he died. In the",Video E
61,"end, through his desperation to avoid being murdered, he was the one responsible for his own death. It really",Video E
62,"goes to show: if you want something doing right, do it yourself. Hungry For More? While some dumb deaths",Video E
63,"are caused by no eating at all, occasionally someone will kick the bucket because of the total opposite. In",Video E
64,"this case, the bucket was filled to the brim with sticky, delicious sweet rolls. Adolf Frederick, King of Sweden",Video E
65,"from 1751 to 1771, wasn’t a particularly good king. He was regarded as lacking the aptitude, fortitude and integrity",Video E
66,"necessary to successful kingship. But what he lacked as a king, he made up for in appetite. He was",Video E
67,"a lover of food, with a sweet tooth, and it could never be said that his eyes were bigger",Video E
68,than his belly. But while the amount of food he consumed on his last meal in February 1771 did,Video E
69,"exceed the limitations of his large belly, he finished it nonetheless. After a heaping feast of seafood, sauerkraut and",Video E
70,"champagne, he moved on to dessert. This consisted of no less than 14 Swedish sweet rolls, all dipped in",Video E
71,"hot milk flavoured with cinnamon and raisins. While he was reportedly stockpiling for the Christian tradition of Lent, he",Video E
72,"clearly overshot his mark, as his digestive system completely shut down and he died. It just goes to show:",Video E
73,death by cake isn’t as sweet as it sounds. A Cut Above The Vest Nobody wants to be conned,Video E
74,"when making a purchase. Indeed, being sold a stab-proof vest that offers the protection of a wet noodle is",Video E
75,hardly an ideal scenario. But it should go without saying that testing the stab-ability of such a vest should,Video E
76,"be done with at least one qualifying factor: taking the vest off first. Unfortunately, that first rule of stab",Video E
77,"club whistled in one ear, through the empty skull cavity, and out the other ear of one Englishman in",Video E
78,"2018. Mistakenly believing his jacket was stab-proof, the man took a knife and plunged it into his jacket while",Video E
79,"at the kitchen table. It turned out, the jacket wasn’t stab-proof, and funnily enough, neither was he. Before I",Video E
80,"get to the dumbest death magnets of the bunch, let’s take a look at some contenders who somehow managed",Video E
81,"to avoid qualifying for a Darwin award by surviving their stupidity. This electrician clearly trained with the best, because",Video E
82,"after all, there’s no better insulator than a nice cool puddle of muddy water. Another top-of-the-class graduate of the",Video E
83,"Elite Electricians Academy is this fellow, who’s also in on the secret that water and electricity are actually a",Video E
84,great mix – but the rubber industry doesn’t want you to know that! For any Darwin Award nominees watching,Video E
85,"– that was a joke. Anyway, this next close contender seems to be pulling a prank with a fuel-depleted",Video E
86,chainsaw held alarmingly close to his nether region. But the risk-to-reward ratio of this particular prank earns this guy,Video E
87,"a firm position in the at-risk Darwin award survivors club. That’s just no place for a chainsaw, joke or",Video E
88,not. The final at-risk survivor is this fellow who let rage overcome any shred of rational thought. While his,Video E
89,"friend drives, he takes the noble position of car-puncher; hanging out of the car window and attacking the hard",Video E
90,"walls of another vehicle with his bare hands, like the genius he so clearly is. As his car swerves,",Video E
91,"he accidentally opens his door, and tumbles gracefully onto the highway. Hey, at least he stuck the landing! Though,",Video E
92,"if this is his reaction to a bit of road rage, I feel like his Darwin award isn’t too",Video E
93,"far away over the horizon. A Bridge Too Far Videogames, movies and TV shows have led us all to",Video E
94,believe that clearing a rising drawbridge in a car is a viable feat. It isn’t. But that realisation never,Video E
95,occurred to a couple of wannabe Texan stuntmen who put their inflated senses of their own abilities to the,Video E
96,test in May 2019. Witnesses reported seeing a car’s passenger lift the barrier of the Black Bayou drawbridge in,Video E
97,"Louisiana, before the car sped off up the rising ramp. Now, admittedly, some people do occasionally survive these jumps,",Video E
98,like this distracted driver who didn’t even realise the bridge had begun to rise before cruising over the top,Video E
99,"to the other side. But these people are the minority and shouldn’t be taken as representative of the majority. Because the majority, like our Texan friends, follow a learning curve that’s steeper than the downward path of their car. However, any learning was short-lived in this case, as the Texan pair were trapped in their car after it failed to make the jump to the other side. They sank and soon drowned. Put simply, they were neither fast, nor furious enough. Which Darwin award winner do you think was the stupidest? Do you know of any more ridiculously dumb ways people died? Let me know in the comments section below. Thanks for watching!",Video E
0,"Embarrassingly Dumb Ways People Died - Darwin Awards Winners [Part 6] For most of us, the natural instinct to survive is",Video F
1,"pretty effective at keeping us from serious harm. But for some people, the impulse to carry out acts of sheer, unbelievable",Video F
2,"stupidity somehow overwhelms the rational mind’s urge to survive. Without further ado, get ready to be baffled by these people who",Video F
3,"became real-life examples of natural selection in action. Quick Eggs-It As far as humanity’s greatest intellectuals are concerned, it’s fair to",Video F
4,"assume none of them have been regular participants in eating contests. But while the whole concept is pretty dumb, one Indian",Video F
5,man learned in 2019 that it can also be fatal. After a disagreement took place between the man and his friend,Video F
6,"in a marketplace in India’s Jaunpur district, they decided there was only one way to settle it. An egg-eating contest. With",Video F
7,"a $30 bet on the table for whoever could eat 50 the fastest, the men began scoffing hard-boiled eggs. But while",Video F
8,"devouring his 42nd egg, one of the eaters collapsed and fell unconscious, and died soon afterwards in hospital. His body couldn’t",Video F
9,"deal with the dense load of 42 eggs, which could’ve weighed as much as 6lbs. So remember: if you want a",Video F
10,"really filling breakfast that won’t kill you, don’t exceed 41 eggs. Bird-Brained Idea Another case of eggs-gone-wrong occurred back in 2006,",Video F
11,"in Doncaster, England. A man, who had a string of convictions for stealing rare, protected bird eggs, was on the hunt",Video F
12,"for illicit eggs in a local forest. Spotting what he presumed to be a sparrow hawk’s nest, the 62-year-old began climbing",Video F
13,"the branches of a tree in hope of something valuable. As he approached the top, however, an avoidable disaster struck. You",Video F
14,"see, this bird-egg bandit had long-standing issues with high blood pressure, which often led to dizzy spells and fainting. Why he’d",Video F
15,"choose a career that involved climbing up precarious tree branches, while battling a tendency to randomly pass out, is anyone’s guess.",Video F
16,"But it doesn’t take too much guessing to figure out what happened. At the top of the tree, he passed out,",Video F
17,"plummeting to the ground, breaking his ribs and having his heart punctured by branches on the way down. Karma was clearly",Video F
18,"on the birds’ side, because the egg thief died soon afterwards. Connection Issues The reason grappling down the sides of buildings",Video F
19,"is possible in movies is that the characters typically use state-of-the-art equipment that they know they can rely on. Sadly, a",Video F
20,"47-year-old man from Northern France seemed to miss this important qualifying factor in 2017, when he attempted his own Mission Impossible-style",Video F
21,"escape. The man had been locked up in his room by his mother to try to control his hard-drinking lifestyle, so",Video F
22,he hatched an escape plan. The grounded 47-year-old decided that rappelling down from the 9th-story apartment window would be the best,Video F
23,"way out. Unfortunately, he didn’t have any heavy-duty steel wire available, and opted to use a simple ethernet cable instead. It’s",Video F
24,"unclear what he tried to attach it to, but the makeshift abseiling equipment snapped almost instantly, and he plummeted to the",Video F
25,"pavement below. His mother’s plan worked: he never drank again. Heat Treatment In 2019, in Bengaluru, India, an act of lethal",Video F
26,stupidity brought one man’s life to a rather heated end. While cleaning out a chimney at his home using petrol-fuelled cleaning,Video F
27,"equipment, the irresistible call of nicotine came a-knockin’. Disregarding the common-sense warnings against using naked flames near petrol-fuelled machines, he pulled",Video F
28,"out his lighter to spark up a cigarette. Unfortunately, in the process of loading up the cleaning equipment, he’d accidentally doused",Video F
29,"himself in a considerable amount of petrol. The moment he lit his cigarette, his clothes went up in flames, and within",Video F
30,"minutes, he’d burnt to death. Not only did he die a totally avoidable, agonizing death; the smoke he released probably undid",Video F
31,"a fair chunk of his cleaning work too! Blocked Up The obesity epidemic is a very modern problem, arising from our",Video F
32,species’ transition into the double-edged sword of having a constant abundance of food. But while heart disease and diabetes are typical,Video F
33,"thoroughfare for the obese, one woman’s excessive weight presented an additional fatal issue: one of logistics. When the 30-stone woman, from",Video F
34,"Dorset, England, went into cardiac arrest in January 2016, the medics who arrived were presented with a unique predicament. Because of",Video F
35,"her weight, it was almost impossible to lug her outside to the emergency vehicles. A long series of proposed solutions ensued,",Video F
36,"including a suggestion that firefighters remove a window to hoist her down, but before something could be decided, it was too",Video F
37,"late. Thanks to the unexpected obstacles and delays her obesity caused, the woman died an otherwise-preventable death before she could reach",Video F
38,"a hospital. Unhappy Accidents We’ve all claimed to be ‘dying from embarrassment’ at some point, after a particularly humiliating event in",Video F
39,"the public eye. But tripping in the school corridor, or accidentally farting on a first date, usually doesn’t prove fatal in",Video F
40,"a literal sense. For one 69-year-old Florida man, though, a supremely embarrassing episode in 2016 spelled his end. After doing his",Video F
41,"business in a Walgreens restroom, staff were appalled to find the stall looking like an explosion at the chocolate factory. Staff",Video F
42,called him back to the scene of the crime and demanded – very publicly – that he clean up his awful,Video F
43,"mess. He eventually obliged, but the sheer embarrassment took its toll. According to his widow, the emotional distress of the incident",Video F
44,"was responsible for the man’s death soon afterwards and she filed a lawsuit against Walgreens on this basis. Indeed, distress can",Video F
45,"cause cardiac arrest in extreme cases, and if there was ever a legit reason to die of embarrassment, it’d be this",Video F
